,Symbol,Perc_Return
31,FB,0.014134054183389422
212,MTZ,0.013507156197328563
75,INTC,0.012765152184850637
27,BAM,0.012715039472630307
5,GSGRX,0.011880621579633655
112,EA,0.01177310135472287
163,PFPT,0.011271012624361143
1,AGTHX,0.011200027465820384
10,SPY,0.010166075837592548
167,APTV,0.008112689810739537
98,ROX,0.007936500427734305
62,ATVI,0.007878279150842049
176,CSCO,0.0071662259014662055
12,CMCSA,0.007119780839667911
101,DPW,0.007117431079635805
236,MOMO,0.006923289830361723
140,WDC,0.006587400969719992
9,QQQ,0.00652434899469112
164,TDY,0.005628603882647409
86,KSS,0.0049422952426343425
72,ORCL,0.0039503213896807665
71,KMX,0.0036046227743460335
95,LLY,0.002630385044594341
82,SNE,0.0025337450886577795
188,SHAK,0.002521281030944733
189,SKIS,0.000910767695696979
116,FLOT,0.0007860270388504453
96,PFE,0.00027392661734793045
81,CASHPIO,0.0
24,CVRS,0.0
28,BEP,-0.0005343838600986306
141,ZBH,-0.0005725048512223996
136,IQV,-0.0009736428126323471
154,FATE,-0.0011184872121762224
179,SYK,-0.0015808078336723153
168,BOX,-0.002871868897114216
68,AVGO,-0.004350618333525569
223,ACST,-0.004651158148691992
134,CMG,-0.005057849186561603
25,DELL,-0.005996995711468167
2,AMZN,-0.006550283173616389
113,FNKO,-0.00763036473130474
47,PG,-0.007894532424677636
56,AMD,-0.00883503125436702
177,BSX,-0.00897582008746678
65,NVDA,-0.009571740909596338
122,SPAB,-0.010427160131703972
46,NKE,-0.011162537669543005
18,NFLX,-0.012303157318176328
44,KO,-0.012855315776884924
109,ADBE,-0.012914973833967003
118,HD,-0.013023016060381809
36,PEP,-0.01375845859233027
156,INCY,-0.014134214378867194
66,TCEHY,-0.014161693676838505
39,ADDYY,-0.015049095845092175
230,CTSH,-0.015205520154268903
143,CB,-0.015711350670531976
160,NVTA,-0.01674421443495644
166,INFY,-0.01778154366516005
34,TGT,-0.018024540328104965
185,ICON,-0.02030460938141998
231,FTNT,-0.020973786981014264
200,SA,-0.02164800785955523
73,PLAY,-0.022222230324592918
51,GD,-0.02356357154346289
76,MSCI,-0.024371056404393854
64,LOW,-0.02475805387984742
100,CWBHF,-0.025239417341810122
232,HON,-0.025648511893671344
178,CARA,-0.02590228122143534
144,MTCH,-0.027372079581691522
7,OEGAX,-0.028458827241147122
89,KMB,-0.02846800324297616
227,X,-0.028972775571469822
85,GDOT,-0.03031384998989184
235,GWPH,-0.032487081898900705
3,CHE,-0.03310444571899762
172,PYPL,-0.03571104221893984
111,CWST,-0.03818725099601594
90,TRV,-0.03860242107989176
40,BJ,-0.038927634365113484
74,XERS,-0.04255319336641461
216,TPL,-0.04256262800303756
175,YUM,-0.042865536864324594
35,MCD,-0.043221354177141236
19,SBUX,-0.04365991642410094
214,Dis,-0.044786813782310975
14,DIS,-0.044786813782310975
93,DHXM,-0.045801485038414524
161,LULU,-0.046913452830218416
211,Lulu,-0.046913452830218416
29,CGC,-0.04772233196334308
103,SQ,-0.047903245495211744
57,BLL,-0.05134104873282874
145,COST,-0.052442792603445865
139,V,-0.05265423974404271
49,BAH,-0.052885909570655754
150,TWTR,-0.05482161964224819
169,CORE,-0.056890751221498115
147,SNPS,-0.05759047447170207
192,FDX,-0.05819483816086857
186,NSRGY,-0.06018317866591072
107,KALV,-0.06022500781526974
190,WORK,-0.06062819204869663
197,INTU,-0.06177901158247112
202,TLRY,-0.06550225199203696
183,DXYN,-0.06666669021418026
119,NSEC,-0.06956523397694458
229,COUP,-0.07106334040139028
198,CYBR,-0.07220120614347758
99,SPWH,-0.0727650538037875
126,MJ,-0.0835600332989126
110,CRI,-0.08475634435705626
157,MO,-0.08506270631771307
8,PBFS,-0.09300746287403394
130,WKHS,-0.09734517755537409
131,VIXY,-0.10471981573924571
233,SAM,-0.12907621333387376
30,CRON,-0.14249796474874477
33,SHOP,-0.14568111947733298
162,OKTA,-0.14639175257731962
194,ACB,-0.15131580392079358
23,CHWY,-0.16346448492514054
58,MKTX,-0.18276107537427144
59,ROKU,-0.2125279993747723
78,TSS,-0.9929123252820481
77,TRBCX,
80,SNAP,
